locale,file,key,pattern,status,used_in_code,code_location,previous_value
ar,home.json,body.purchase.premium.benefits.onePdf,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,ملف PDF واحد مناسب وجاهز للطباعة
ar,home.json,body.purchase.premium.benefits.kidFriendly,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,ألغاز مناسبة للأطفال بمستويات صعوبة متنوعة
ar,home.json,body.purchase.premium.benefits.paperSizes,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,يعمل على ورق US Letter و A4
ar,home.json,body.purchase.premium.benefits.instantAccess,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,وصول فوري بعد نجاح الدفع
ar,home.json,body.purchase.premium.benefits.classroomUse,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,للاستخدام في المنزل أو في فصل دراسي واحد
ar,home.json,body.purchase.premium.guaranteeText,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,بعد إتمام الدفع، يظهر رابط التنزيل الخاص بك فوراً. بدون اشتراك وبدون تجديد مفاجئ.
ar,home.json,body.purchase.checkout.consent,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,أوافق على التسليم الفوري لهذا الملف الرقمي وأدرك أنه بمجرد بدء الوصول، تكون عملية البيع نهائية وغير قابلة للاسترداد إلا في الحالات التي يقتضيها القانون أو إذا لم يتم تسليم الملف أو كان معيباً.
ar,home.json,body.purchase.checkout.refundPolicy,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,اقرأ سياسة الاسترداد
ar,home.json,body.purchase.checkout.opening,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,جارٍ فتح صفحة الدفع...
ar,home.json,body.purchase.checkout.secureNote,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,الدفع الآمن بواسطة Stripe. دفعة واحدة. بدون اشتراك.
ar,home.json,body.purchase.checkout.error,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BrowserErrorTracker.tsx; generator/Ui-app-DB-json/components/BuyButton.tsx,حدث خطأ ما أثناء بدء الدفع. يرجى المحاولة مرة أخرى.
ar,home.json,body.purchase.success.metaTitle,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,شكراً على شرائك
ar,home.json,body.purchase.success.eyebrow,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,تم تأكيد الدفع
ar,home.json,body.purchase.success.lede,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,تمت عملية الدفع بنجاح. قد يستغرق ظهور عملية الشراء في حسابك بضع ثوانٍ.
ar,home.json,body.purchase.cancelled.metaTitle,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,تم إلغاء الدفع
ar,home.json,body.purchase.cancelled.eyebrow,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,لم يتم خصم أي مبلغ
ar,home.json,body.purchase.cancelled.lede,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,لم يتم خصم أي رسوم. يمكنك المحاولة مرة أخرى في أي وقت.
ar,home.json,body.purchase.download.demoTitle,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,اجتاز اختبار الدفع المحلي.
ar,home.json,body.purchase.download.demoText,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,تعرض شاشة النجاح الحقيقية للدفع المدفوع زر تنزيل ملف PDF هنا. لا يقوم العرض التجريبي المحلي بإطلاق الملف الخاص.
ar,home.json,body.purchase.download.button,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx; generator/Ui-app-DB-json/components/CategoryMenu.tsx,نزّل حزمة الألغاز الخاصة بك
ar,home.json,body.purchase.download.expires,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,تنتهي صلاحية هذا الرابط خلال 24 ساعة. احفظ التنزيل في مكان آمن.
ar,home.json,body.purchase.download.failed,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,لم نتمكن من تأكيد عملية الشراء بعد. إذا تم خصم المبلغ، يرجى تحديث هذه الصفحة بعد دقيقة أو التواصل معنا للمساعدة.
ar,home.json,body.purchase.download.preparing,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,جارٍ تجهيز التنزيل الخاص بك...
ar,home.json,body.purchase.shared.returnToPack,body.purchase.shared,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx; generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,العودة إلى حزمة الألغاز
ar,home.json,body.purchase.shared.contactUs,body.purchase.shared,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,تواصل معنا
az,home.json,body.purchase.premium.metaTitle,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,2026-nın ən yaxşı Premium Nöqtədən Nöqtəyə Tapmaca Paketi
az,home.json,body.purchase.premium.metaDescription,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,"Uşaqlar üçün ən sevilən nöqtədən nöqtəyə tapmacaların çap üçün hazır toplusu, bir rahat PDF-də toplanıb."
az,home.json,body.purchase.premium.eyebrow,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,Premium çap kolleksiyası
az,home.json,body.purchase.premium.lede,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,"2026-nın ən yaxşıları kolleksiyası sevimli nöqtə-birləşdirmə fəaliyyətlərimizi sakit vaxt, yağışlı günlər, ev təhsili və siniflər üçün asan çap edilə bilən bir paketdə birləşdirir."
az,home.json,body.purchase.premium.digitalPdf,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Rəqəmsal PDF
az,home.json,body.purchase.premium.printAtHome,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Evdə çap et
az,home.json,body.purchase.premium.instantAccess,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Ani giriş
az,home.json,body.purchase.premium.purchaseAria,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,2026-nın ən yaxşısı tapmaca paketini satın al
az,home.json,body.purchase.premium.coverAlt,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/components/BestOf2026BookAd.tsx,2026-nın ən yaxşısı - 25 Nöqtədən Nöqtəyə Tapmaca kitab üzlüyü
az,home.json,body.purchase.premium.oneTime,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,birdəfəlik
az,home.json,body.purchase.premium.buyButton,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Tapmaca paketini əldə et
az,home.json,body.purchase.premium.localNote,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,"Localhost-da bu, təhlükəsiz ödəniş demosunu açır və heç vaxt karta pul yazmır."
az,home.json,body.purchase.premium.detailsEyebrow,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Asan çap-və-oyna üçün hazırlanıb
az,home.json,body.purchase.premium.detailsText,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,"Bir dəfə yüklə, əldə saxla və istədiyin fəaliyyətləri istədiyin zaman çap et."
az,home.json,body.purchase.premium.benefits.onePdf,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,"Bir rahat, çapa hazır PDF"
az,home.json,body.purchase.premium.benefits.kidFriendly,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Müxtəlif çətinlik dərəcəli uşaq dostu tapmacalar
az,home.json,body.purchase.premium.benefits.paperSizes,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,US Letter və A4 kağızlarında işləyir
az,home.json,body.purchase.premium.benefits.instantAccess,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Uğurlu ödənişdən sonra ani giriş
az,home.json,body.purchase.premium.benefits.classroomUse,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Evdə və ya bir sinifdə istifadə üçün
az,home.json,body.purchase.premium.guaranteeText,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Ödənişdən sonra şəxsi endirmə linkiniz dərhal görünür. Abunəlik və gözlənilməz yenilənmə yoxdur.
az,home.json,body.purchase.checkout.consent,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,Bu rəqəmsal PDF-in dərhal çatdırılmasına razıyam və girişin başlamasından sonra satışın qanunla tələb olunmadıqca və ya fayl çatdırılmadıqda və ya qüsurlu olduqda son və geri qaytarılmaz olduğunu anlayıram.
az,home.json,body.purchase.checkout.refundPolicy,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,Geri qaytarma siyasətini oxu
az,home.json,body.purchase.checkout.opening,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,Ödəniş açılır...
az,home.json,body.purchase.checkout.secureNote,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,Stripe tərəfindən təmin edilən təhlükəsiz ödəniş. Birdəfəlik ödəniş. Abunəlik yoxdur.
az,home.json,body.purchase.checkout.error,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BrowserErrorTracker.tsx; generator/Ui-app-DB-json/components/BuyButton.tsx,Ödəniş başladılarkən xəta baş verdi. Yenidən cəhd edin.
az,home.json,body.purchase.success.metaTitle,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Alışınız üçün təşəkkürlər
az,home.json,body.purchase.success.eyebrow,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,Ödəniş təsdiqləndi
az,home.json,body.purchase.success.lede,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Ödənişiniz uğurlu oldu. Alışınızın hesabınızda görünməsi bir neçə saniyə çəkə bilər.
az,home.json,body.purchase.cancelled.metaTitle,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Ödəniş ləğv edildi
az,home.json,body.purchase.cancelled.eyebrow,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,Ödəniş alınmadı
az,home.json,body.purchase.cancelled.lede,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Heç bir ödəniş edilmədi. İstənilən vaxt yenidən cəhd edə bilərsiniz.
az,home.json,body.purchase.download.demoTitle,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Yerli ödəniş testi keçdi.
az,home.json,body.purchase.download.demoText,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Əsl ödənişli uğur ekranı burada PDF endirmə düyməsini göstərir. Yerli demo şəxsi faylı buraxmır.
az,home.json,body.purchase.download.button,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx; generator/Ui-app-DB-json/components/CategoryMenu.tsx,Tapmaca paketinizi endirin
az,home.json,body.purchase.download.expires,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Bu link 24 saatdan sonra bitir. Endirdiyinizi təhlükəsiz yerdə saxlayın.
az,home.json,body.purchase.download.failed,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,"Alışınızı hələ təsdiqləyə bilmədik. Əgər ödəniş edilibsə, bir dəqiqədən sonra bu səhifəni yeniləyin və ya kömək üçün bizimlə əlaqə saxlayın."
az,home.json,body.purchase.download.preparing,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Endirməniz hazırlanır...
az,home.json,body.purchase.shared.returnToPack,body.purchase.shared,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx; generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Tapmaca paketinə qayıt
az,home.json,body.purchase.shared.contactUs,body.purchase.shared,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Bizimlə əlaqə
cs,home.json,body.purchase.premium.metaTitle,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Nejlepší prémiový balíček spojovaček z roku 2026
cs,home.json,body.purchase.premium.metaDescription,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,K tisku připravená kolekce oblíbených spojovaček pro děti v jednom praktickém PDF.
cs,home.json,body.purchase.premium.eyebrow,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,Prémiová tisková kolekce
cs,home.json,body.purchase.premium.lede,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,"Kolekce Nejlepší z roku 2026 přináší naše oblíbené spojovačky v jednom snadno tisknutelném balíčku na klidné chvíle, deštivé dny, domácí výuku i školní třídy."
cs,home.json,body.purchase.premium.digitalPdf,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Digitální PDF
cs,home.json,body.purchase.premium.printAtHome,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Tisk doma
cs,home.json,body.purchase.premium.instantAccess,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Okamžitý přístup
cs,home.json,body.purchase.premium.purchaseAria,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Zakoupit balíček hádanek Nejlepší z roku 2026
cs,home.json,body.purchase.premium.coverAlt,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/components/BestOf2026BookAd.tsx,Nejlepší z roku 2026 - obálka knihy s 25 spojovačkami
cs,home.json,body.purchase.premium.oneTime,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,jednorázově
cs,home.json,body.purchase.premium.buyButton,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Získat balíček hádanek
cs,home.json,body.purchase.premium.localNote,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Na localhostu se otevře bezpečné demo pokladny a karta nikdy nebude zatížena.
cs,home.json,body.purchase.premium.detailsEyebrow,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Navrženo pro snadný tisk a hraní
cs,home.json,body.purchase.premium.detailsText,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,"Stáhněte jednou, mějte po ruce a vytiskněte si aktivity, kdykoli je potřebujete."
cs,home.json,body.purchase.premium.benefits.onePdf,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,"Jedno praktické, k tisku připravené PDF"
cs,home.json,body.purchase.premium.benefits.kidFriendly,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Hádanky pro děti s různou obtížností
cs,home.json,body.purchase.premium.benefits.paperSizes,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Funguje na papíru US Letter i A4
cs,home.json,body.purchase.premium.benefits.instantAccess,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Okamžitý přístup po úspěšné platbě
cs,home.json,body.purchase.premium.benefits.classroomUse,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Použití doma nebo v jedné třídě
cs,home.json,body.purchase.premium.guaranteeText,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,Po dokončení objednávky se okamžitě zobrazí váš soukromý odkaz ke stažení. Žádné předplatné ani nečekané obnovení.
cs,home.json,body.purchase.checkout.consent,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,"Souhlasím s okamžitým doručením tohoto digitálního PDF a rozumím, že jakmile přístup začne, prodej je konečný a nevratný, s výjimkou případů vyžadovaných zákonem nebo pokud soubor nebyl doručen či je vadný."
cs,home.json,body.purchase.checkout.refundPolicy,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,Přečíst zásady vracení peněz
cs,home.json,body.purchase.checkout.opening,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,Otevírání pokladny...
cs,home.json,body.purchase.checkout.secureNote,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx,Bezpečná platba zajištěná společností Stripe. Jednorázová platba. Bez předplatného.
cs,home.json,body.purchase.checkout.error,body.purchase.checkout,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BrowserErrorTracker.tsx; generator/Ui-app-DB-json/components/BuyButton.tsx,Při zahájení platby došlo k chybě. Zkuste to prosím znovu.
cs,home.json,body.purchase.success.metaTitle,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Děkujeme za váš nákup
cs,home.json,body.purchase.success.eyebrow,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,Platba potvrzena
cs,home.json,body.purchase.success.lede,body.purchase.success,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Vaše platba byla úspěšná. Zobrazení nákupu ve vašem účtu může trvat několik sekund.
cs,home.json,body.purchase.cancelled.metaTitle,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Platba zrušena
cs,home.json,body.purchase.cancelled.eyebrow,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,Žádná platba nebyla provedena
cs,home.json,body.purchase.cancelled.lede,body.purchase.cancelled,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Nebyl účtován žádný poplatek. Můžete to kdykoli zkusit znovu.
cs,home.json,body.purchase.download.demoTitle,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Místní test pokladny byl úspěšný.
cs,home.json,body.purchase.download.demoText,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Skutečná placená obrazovka úspěchu zde zobrazuje tlačítko pro stažení PDF. Místní demo neuvolní soukromý soubor.
cs,home.json,body.purchase.download.button,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/BuyButton.tsx; generator/Ui-app-DB-json/components/CategoryMenu.tsx,Stáhnout váš balíček hádanek
cs,home.json,body.purchase.download.expires,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Platnost tohoto odkazu vyprší za 24 hodin. Uložte si stažený soubor na bezpečné místo.
cs,home.json,body.purchase.download.failed,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,"Váš nákup jsme zatím nemohli potvrdit. Pokud vám byla částka strhnuta, obnovte prosím tuto stránku za minutu nebo nás kontaktujte pro pomoc."
cs,home.json,body.purchase.download.preparing,body.purchase.download,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Připravujeme vaše stažení...
cs,home.json,body.purchase.shared.returnToPack,body.purchase.shared,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx; generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Zpět na balíček hádanek
cs,home.json,body.purchase.shared.contactUs,body.purchase.shared,MISSING_KEY,YES,generator/Ui-app-DB-json/components/PurchaseDownloadLink.tsx,Kontaktujte nás
da,home.json,body.purchase.premium.metaTitle,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx; generator/Ui-app-DB-json/app/[locale]/purchase/cancelled/page.tsx,Bedste af 2026 Premium Prik-til-prik-puslespilspakke
da,home.json,body.purchase.premium.metaDescription,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/premium/page.tsx,"En printklar samling af populære prik-til-prik-puslespil til børn, samlet i én bekvem PDF."
da,home.json,body.purchase.premium.eyebrow,body.purchase.premium,MISSING_KEY,YES,generator/Ui-app-DB-json/app/[locale]/blog/page.tsx; generator/Ui-app-DB-json/app/[locale]/blog/[slug]/page.tsx,Premium printsamling
